"Planning_Area","Population"
"Ang Mo Kio",159170
"Bedok",271810
"Bishan",84620
"Boon Lay",10
"Bukit Batok",160150
"Bukit Merah",148130
"Bukit Panjang",134720
"Bukit Timah",75860
"Central Water Catchment",0
"Changi",1890
"Changi Bay",0
"Choa Chu Kang",189070
"Clementi",90970
"Downtown Core",3340
"Geylang",107600
"Hougang",224790
"Jurong East",75890
"Jurong West",255120
"Kallang",98300
"Lim Chu Kang",100
"Mandai",2070
"Marina East",0
"Marina South",0
"Marine Parade",44680
"Museum",530
"Newton",8100
"North-Eastern Islands",40
"Novena",48800
"Orchard",850
"Outram",17470
"Pasir Ris",144610
"Paya Lebar",20
"Pioneer",50
"Punggol",176180
"Queenstown",93620
"River Valley",10040
"Rochor",12680
"Seletar",310
"Sembawang",104740
"Sengkang",248630
"Serangoon",115110
"Simpang",0
"Singapore River",3400
"Southern Islands",1980
"Straits View",0
"Sungei Kadut",720
"Tampines",258090
"Tanglin",21410
"Tengah",10
"Toa Payoh",122550
"Tuas",50
"Western Islands",0
"Western Water Catchment",610
"Woodlands",248930
"Yishun",219190
